gene_id,spearman,pearson,gene_name,spearman_rank,pearson_rank
orf19.5755,1,1,PHO80,1,1
orf19.3785,0.9780219780219781,0.9926165043152878,,2,2
orf19.7016,0.8846153846153846,0.9875418218398656,PHM5,3,3
orf19.2681,0.9945054945054946,0.9867096071390763,,4,4
orf19.1301,0.9120879120879122,0.9807665901638817,,5,5
orf19.543,0.8406593406593407,0.9777807192106943,FUM11,6,6
orf19.4248,0.9835164835164835,0.9771812926473239,,7,7
orf19.5597.1,0.9230769230769231,0.9770340769700346,,8,8
orf19.1652,0.9615384615384616,0.9751078233788536,POX1-3,9,9
orf19.1968,0.8736263736263736,0.9744873772657858,,10,10
orf19.263.1,0.7912087912087913,0.9741850256724753,,11,11
orf19.6627,0.9505494505494505,0.9739767335881421,,12,12
orf19.6143,0.9065934065934066,0.9739245233512072,,13,13
orf19.6920,0.9835164835164835,0.9728019943911717,,14,14
orf19.656,0.7087912087912088,0.9722740457800467,,15,15
orf19.804.1,0.9560439560439561,0.9707368527793385,,16,16
orf19.2439.1,0.9725274725274725,0.9701417569939613,QCR10,17,17
orf19.4128,0.7967032967032968,0.9700336662638721,,18,18
orf19.6037,0.7252747252747253,0.9698183165304072,,19,19
orf19.4759,0.9285714285714286,0.9695076148738558,COX5,20,20
