gene_id,spearman,pearson,gene_name,spearman_rank,pearson_rank
orf19.7475,1,1,PHO81,1,1
orf19.3936,0.9560439560439561,0.9792240971742896,GDE1,2,2
orf19.4096,0.8956043956043956,0.961079515760528,TAZ1,3,3
orf19.7071,0.967032967032967,0.9545178394877795,FGR2,4,4
orf19.4426,0.7637362637362638,0.9465094090022724,PEX3,5,5
orf19.34,0.47802197802197804,0.9464805842573055,GIT1,6,6
orf19.4189,0.5384615384615384,0.9373525818382871,,7,7
orf19.5455,0.5934065934065934,0.9358615217482675,VTC1,8,8
orf19.4825,0.576923076923077,0.9349480817058874,,9,9
orf19.5925,0.5384615384615384,0.9347760028025045,,10,10
orf19.3727,0.5714285714285714,0.9346705231125823,,11,11
orf19.3223,0.8681318681318682,0.9327027672824504,ATP3,12,12
orf19.1980,0.9615384615384616,0.9270901177715025,,13,13
orf19.3483,0.521978021978022,0.9269415484629897,,14,14
orf19.287,0.4835164835164835,0.9205251515616578,,15,15
orf19.6126,0.7637362637362638,0.920239617755572,KGD2,16,16
orf19.3579,0.8901098901098902,0.9186063716832621,ATP4,17,17
orf19.4424,0.3131868131868132,0.9148954019128929,,18,18
orf19.4128,0.47252747252747257,0.9143587509329926,,19,19
orf19.1042,0.8021978021978022,0.91324383069822,,20,20
