gene_id,spearman,pearson,gene_name,spearman_rank,pearson_rank
orf19.1253,1,1,PHO4,1,1
orf19.4393,0.8956043956043956,0.9202408809720367,,2,2
orf19.4381,0.8241758241758242,0.9106907417858832,VTC3,3,3
orf19.5136,0.8406593406593407,0.908228904715233,,4,4
orf19.961.2,0.7967032967032968,0.8982710272167412,,5,5
orf19.4468,0.7912087912087913,0.8981145548005925,,6,6
orf19.1440,0.8351648351648352,0.8980357206986062,,7,7
orf19.6854,0.7967032967032968,0.8978797134246107,ATP1,8,8
orf19.1872,0.8296703296703297,0.8963666741052424,,9,9
orf19.6057,0.6428571428571429,0.8948205832054379,,10,10
orf19.7551,0.8351648351648352,0.8888102370872782,ALO1,11,11
orf19.6724,0.7582417582417583,0.8882722949525391,,12,12
orf19.4885,0.8296703296703297,0.8851537654817495,MIR1,13,13
orf19.1682,0.8186813186813187,0.8843587746215446,,14,14
orf19.6413,0.8076923076923077,0.8825639131073968,,15,15
orf19.2644,0.7692307692307693,0.8822442122270505,QCR2,16,16
orf19.6385,0.8131868131868133,0.8804014541460966,ACO1,17,17
orf19.2199,0.7857142857142857,0.8788228184711574,PHO86,18,18
orf19.7485,0.8351648351648352,0.8771027706865258,,19,19
orf19.6939,0.8186813186813187,0.8735211694550877,,20,20
