gene_id,spearman,pearson,gene_name,spearman_rank,pearson_rank
CAGL0L12474g,1,1,PHO85,1,1
CAGL0A02695g,0.9818181818181819,0.9786193322917588,,2,2
CAGL0J05258g,0.9181818181818181,0.9741793182073527,,3,3
CAGL0M10934g,0.9636363636363636,0.973050913720306,,4,4
CAGL0J05247g,0.9636363636363636,0.9702674680586931,,5,5
CAGL0J01287g,0.9,0.9639906684351937,AIP1,6,6
CAGL0J08712g,0.9,0.9632657695669138,,7,7
CAGL0H01353g,0.9272727272727272,0.9610315669865983,,8,8
CAGL0D03520g,0.990909090909091,0.9591430127747944,,9,9
CAGL0J07568g,0.9272727272727272,0.9558355446121136,,10,10
CAGL0M03531g,0.990909090909091,0.9549563035135753,,11,11
CAGL0J09702g,0.9454545454545454,0.9546529950943414,,12,12
CAGL0E00715g,0.9181818181818181,0.9538609635110294,,13,13
CAGL0L12936g,0.9363636363636364,0.9534887879955279,,14,14
CAGL0K12694g,0.9090909090909091,0.9519170734330127,ACT1,15,15
CAGL0H08932g,0.9636363636363636,0.9508759016992491,,16,16
CAGL0J04400g,0.9545454545454546,0.9493888111934152,,17,17
CAGL0B04037g,0.9090909090909091,0.9492572732791279,,18,18
CAGL0J10230g,0.8818181818181817,0.9473818091551515,,19,19
CAGL0A02992g,0.9363636363636364,0.9469948048303688,,20,20
