gene_id,spearman,pearson,gene_name,spearman_rank,pearson_rank
orf19.655,1,1,PHO84,1,1
orf19.6824,0.5329670329670331,0.959060701605317,,2,2
orf19.7231,0.47802197802197804,0.9485797879165575,FTR2,3,3
orf19.1979,0.521978021978022,0.9483735246111076,,4,4
orf19.3419,0.23076923076923078,0.9339303011408343,MAE1,5,5
orf19.527,0.13736263736263737,0.9275183386902769,,6,6
orf19.3665,0.3131868131868132,0.9273539956196221,SET6,7,7
orf19.4448,0.6868131868131868,0.9165657695104987,SOG2,8,8
orf19.5791,0.7692307692307693,0.9110890412392033,IDH2,9,9
orf19.2995,0.13736263736263737,0.9107719972408104,,10,10
orf19.4743,0.3241758241758242,0.9106934283234362,,11,11
orf19.1971,0.23626373626373628,0.9048183084533313,,12,12
orf19.2630,0.3021978021978022,0.8976495068906736,RAD59,13,13
orf19.1494,0.39010989010989017,0.8959028138335097,RAD23,14,14
orf19.6938,0.38461538461538464,0.8955711247098513,MEU1,15,15
orf19.6898.1,0.7197802197802198,0.8941123750510059,,16,16
orf19.1643,0.4835164835164835,0.8847365881156147,,17,17
orf19.5362,0.20329670329670332,0.8846500067900753,,18,18
orf19.3363,0.8901098901098902,0.8784152000482985,VTC4,19,19
orf19.4826,0.4120879120879121,0.8723310279818071,IDH1,20,20
