Gene,KlB41,KlB42,Kl15m3,Kl15m4,Kl30m3,Kl30m4,Kl45m3,Kl45m4,Kl1h3,Kl1h4,Kl1.5h3,Kl1.5h4,Kl2h4,Kl2.5h1,Kl2.5h2,Kl3h3,Kl3h4,Kl3.5h3,Kl3.5h4,Kl4h3,Kl4h4,Kl6h3,Kl6h4,Kl8h3,Kl8h4
gene-KDRO_A04150,0.558360742533442,1.03898931535586,1.13816715947044,0.0989269655287516,1.5950648569377,1.1245643257693,0.766772826360805,0.358449827764964,0.577981911123168,0.150372236912951,0.686841529700177,0.463324727732351,0.578531412405742,1.27970539253099,0.960483781195569,0.440334699247023,0.375002052173583,-0.0927913481930995,0.32611885106043,0.236598937867461,0.199225190720751,0.657604533985598,0.283209727565367,-0.320557182696068,0.682921378943559
gene-KDRO_A04940,1.65028081405927,2.34361752402937,1.89030463100138,1.19059210151057,1.35260416526348,1.42797101182247,1.96459008841,2.23603355034241,1.5091668516015,1.72697022437629,2.01306829229256,2.33125440804656,2.28658286170857,1.93761770410684,1.49225001774556,2.22111234486482,2.19067518126369,2.24690108420132,1.80024034551407,1.73181571777976,1.79968274939126,2.41069277351664,2.18535672426506,2.55969492034693,1.84065944961195
gene-KDRO_C01800,2.1609941048661,1.81902305200431,1.69215579535551,1.50670958889666,0.470241321352035,-0.622850359867815,0.429074349021356,1.22472569812815,2.87543939924819,3.06323375470111,3.383207814549,3.15086403888312,4.13268952031718,4.33783286476838,4.19791304102162,4.39345685828276,4.41288217351575,4.33389483730208,4.39869491314823,4.58733384024814,4.41470715889991,4.21897310186531,4.52472708096371,4.56250610591478,4.16912045959972
gene-KDRO_C02880,4.01985979531985,4.08223360825277,6.05539517998902,6.02856491325371,9.77278304742614,9.78459876297492,9.86622144021439,9.73324397887423,9.36552491543148,9.28143782409931,9.45205414464598,9.46663479594562,9.72223699769478,9.70673101068749,9.73614970974475,9.67014396593826,9.70697619877024,9.76729055972422,9.75552023944317,9.78461282936141,9.77701593610713,9.89829961705439,9.66836964777434,9.72550648827483,9.86904439928345
gene-KDRO_D00400,-0.469182080140067,0.551229531731458,-0.526791618696414,-0.0324104267535672,0.695119285161547,0.584891032654254,0.268234865234122,0.989446118076156,0.387544187499654,-0.346924803155352,1.03630154234978,0.654847947271698,0.925701645747993,-0.454566879529778,0.00916769745115693,-0.260184959930004,-0.0454877646729469,0.166084304982547,0.144081033848901,-0.466766960607234,-0.784610236229709,-0.485150731922086,-0.785884780016786,-1.30849384889768,0.131407115642818
gene-KDRO_D07380,2.94899390115091,3.54931079668072,3.4866731489628,3.06003024696133,4.03039581049262,3.9652185242971,3.95223608454652,3.91511757103469,3.10943274086213,2.68186641731789,1.27419376024914,1.06792009274924,0.44137918687869,0.035711466726725,0.109227832928043,-0.0725326091169072,-0.0454877646729469,-0.0927913481930995,-0.447126809213838,-0.466766960607234,0.0313306934049165,-0.220509597849617,-0.194374999998514,0.411554692053523,0.290268646078595
gene-KDRO_E08030,5.99178507140656,5.55460819265833,6.39007972990217,6.27589864615995,7.37885211453733,7.21157597954228,6.97789809454729,6.99478176484609,6.21499336721592,5.76656143597171,2.89122273668383,2.69327819393255,0.511584512083741,0.035711466726725,0.00916769745115693,-1.43036980033531,0.0539737851396191,0.451799806762529,0.487739502704729,0.0680767598240139,0.72472953419691,1.15363694156913,1.64505995987339,1.60906061324813,1.67771920709178
gene-KDRO_F01520,4.95287890971795,4.87366655738208,3.60777019545379,3.47711270931874,1.66760411383757,1.55868008533818,3.61860791393739,4.0360293948511,5.48776214433267,5.55048654950175,5.87642235213265,5.7061010585473,5.79339634496816,5.60648192583064,5.78126842386061,5.77527703350225,5.60344809475244,5.72716898961958,5.64378785002895,5.57735212318406,5.51320702341814,5.5774299323123,5.15618055739085,5.45974622351604,5.57395650702165
gene-KDRO_F03810,-0.847586036487987,-0.0746658516927528,-0.701796558525066,-2.84618709741353,-0.721616803821833,-2.84618709741353,-1.01696943455513,0.255954741206366,0.000641690682598928,0.232139203634703,0.619385620499479,0.0738081402606205,0.367581949525467,-0.0721354554539634,-0.632640169574698,0.500712559106896,0.316835220772135,0.894696255712504,-0.307917327293462,-0.122766690040693,-0.0605617788447628,-0.638225972505864,0.498628149917469,-0.320557182696068,-0.0471370377756916
gene-KLLA0_A00110g,2.13385907565467,-2.84618709741353,0.320923611424312,-2.84618709741353,-2.84618709741354,1.67852437922032,1.29423843396179,1.76220957564329,0.410099878326985,0.40470531106549,2.21436686124134,2.02964701402075,2.60670897793303,2.41107016465836,3.70023036024858,3.14021851408805,2.75122522750155,3.89892495661392,3.5195549848616,3.83445932162067,2.29092092736279,2.79903148696687,2.48522935172259,2.61545205969248,0.826914149343215
