gene_id,yH1053.Scer.noPi.0m.rep1,yH1053.Scer.noPi.0m.rep2,yH1053.Scer.noPi.15m.rep1,yH1053.Scer.noPi.15m.rep2,yH1053.Scer.noPi.30m.rep1,yH1053.Scer.noPi.30m.rep2,yH1053.Scer.noPi.45m.rep1,yH1053.Scer.noPi.45m.rep2,yH1053.Scer.noPi.60m.rep1,yH1053.Scer.noPi.60m.rep2,yH1053.Scer.noPi.90m.rep1,yH1053.Scer.noPi.90m.rep2,yH1053.Scer.noPi.120m.rep1,yH1053.Scer.noPi.120m.rep2,yH1053.Scer.noPi.180m.rep1,yH1053.Scer.noPi.180m.rep2,yH1053.Scer.noPi.240m.rep1,yH1053.Scer.noPi.240m.rep2,yH1053.Scer.noPi.360m.rep1,yH1053.Scer.noPi.360m.rep2,yH1053.Scer.noPi.480m.rep1,yH1053.Scer.noPi.480m.rep2,yH1053.Scer.mock.30m.rep1,yH1053.Scer.mock.30m.rep2,yH1053.Scer.mock.60m.rep1,yH1053.Scer.mock.60m.rep2
Q0020,0.947018852275503,-1.3730080580404145,1.8074285744855831,0.3834656056244843,1.8777893656991773,1.3021059849260865,0.6586174962320829,0.44143703804578643,1.1554809113297468,1.3673939874154852,1.0567384090654164,-1.0003285650918972,1.3643910410199407,0.4863138448032117,1.425759429267521,0.9543019932870259,2.1484387404776797,1.1554016059482919,1.9181050270282358,2.3946607282444865,3.11827103354598,3.1854309169519284,-0.41926890878532846,1.2814137645719488,0.06083381484368122,0.0902811090473802
Q0045,4.839749812990325,5.161879321817439,4.718875547011681,4.507722292030439,4.822261112810694,4.744798960692693,5.598065500992347,4.608983907124707,4.935573167639648,5.28736779882262,5.1432011387757814,5.220786014981597,5.871135727884685,5.027373565309591,6.29958014180521,5.629672878794198,5.911165004684869,5.564650552913912,6.626760055492152,6.77540911671057,6.756761436671743,5.695242029052439,4.522976868524176,5.673005541502913,5.601091751139703,5.304800817243791
Q0050,3.299771093699395,3.4091808055662174,3.348141657924582,2.7974362510248363,2.350064632814357,3.0346292316508934,3.398103810840678,2.539221215992678,2.670292030144681,3.7029406757455234,2.9853250361061887,3.4609859706166652,3.4697955674712517,3.2442223814398337,3.705213014647306,3.4975032693664336,4.102040526324014,3.9589370510308832,4.4093243850100725,5.0555512725740055,4.925540477964201,4.334261050401138,2.2252453937955474,3.1815055861869905,2.725805033213218,3.547124090017576
Q0055,3.324248552777586,3.367388284111923,2.887271944682222,2.6733523774755907,3.4759671179972496,3.7057157826901985,4.17678920391843,3.7296578698809575,3.4718009557799268,3.8764977078597136,3.9571408643268717,3.1531262179764634,4.305767896370199,3.041481434072888,4.55843308312913,4.003448313999494,4.264881205455633,3.888131690323367,4.934151190364437,5.06455341303751,4.998602251655719,4.234727327908891,2.269993042233813,4.36514860784057,3.628121886789512,3.944453685653691
Q0060,1.9507243351564232,0.677533498165757,1.7055328255375855,1.5158128535751882,0.31850434098856834,0.8072130954623725,1.2493290743500307,0.6915017353833097,1.1554809113297468,1.5274320003911233,1.0567384090654164,1.0011510765770524,1.824202239996275,0.4863138448032117,2.0546445223540917,1.0492290435721547,1.7320548065950632,1.4888996277011297,2.111820744520154,2.6552005800547924,2.3813852139408787,2.2941889498766073,-0.993386915862378,1.3323712438623572,0.8790003198730629,1.9808554280182467
Q0065,3.8135455488932832,3.69757983818128,3.4566716069042265,2.973129300657579,3.4206397807112374,3.92560097776912,4.4294184303881625,3.8023296699133904,3.5190613556176444,4.207176312680841,4.0630034809074695,3.9557766762635738,4.545537979987413,3.78093425908093,4.847081798911041,4.100845950248131,4.57540152559366,4.139133185137687,4.959554982918382,5.155832140952695,4.910473388847064,3.8237349881220863,2.585356371552438,4.6824015481386745,3.966890892654417,4.636182935985499
Q0070,3.2622581581469716,3.2457948992533945,3.103015124367067,2.4963238891948576,2.528142572085972,2.3924699591668706,3.996015827368075,2.2584350382173963,2.670292030144681,3.7278732685104807,2.9853250361061887,3.37816779448613,4.043636949499258,2.986009026948079,3.775626078751318,2.293585672095597,4.172137423203886,3.172067051110362,4.233049326254433,4.089128109338823,4.622236061289351,3.5590955659072803,1.5880664524113282,3.611010947071351,3.0978044438031165,3.2920483343557727
Q0075,4.151152603621285,3.8869628783773704,5.196819345494533,3.848025041209022,3.668755872260579,3.6055473629731223,4.840309827358391,3.7014336112111343,3.70220635042374,4.247966741779894,4.781618423752706,4.278563426111045,5.119230292995116,4.232098795048659,5.155090315043507,3.0581530998256463,5.141521760550175,4.731043716360957,5.372753032643702,5.465473417077104,5.4966860009407315,5.124530938509111,1.6570752609194508,4.786573299822743,3.6073323674570035,4.58759056238292
Q0085,-1.0127600321835093,-1.6884826516113727,-1.6542098256681044,-1.3070915650939592,-1.6168702380229585,-1.331792614462213,-1.235026257660356,-1.5997828348982794,-0.2799436116074673,-0.7069574581030745,-0.4153055692069219,-1.0003285650918972,-0.25999126686393337,-1.6717497111115653,-0.30228339625452483,-0.41195108966754057,-0.40149599060289076,-0.438554941823034,0.3159033467381061,-0.35278398917103965,-0.07714924470990354,0.04085571834766287,-1.4941358857693583,-0.08144127420859153,-1.5756825123500418,-1.0349316769957277
Q0110,0.001601193840594652,-0.010506061297103374,0.2544611701656319,0.4712607988729811,-1.6168702380229585,-2.0700554704139487,0.29110133587259424,-2.6566411904652374,-1.3949166989617836,-0.2521882732209734,-1.1385225448286016,0.06483124889631378,0.28885113700356746,0.3168141499581704,0.4665486894408429,-1.4889936106923292,0.6102775590828998,0.6465527876457564,0.4171722376517193,1.022927295936846,1.5070822788605591,1.4275479903274724,-0.993386915862378,-0.9766598569188457,-1.5756825123500418,-0.2907276782260903
Q0120,-1.0127600321835093,-1.1142920801834924,0.15487928023551564,-1.3070915650939592,-2.0450432781569767,-1.331792614462213,-2.6566411904652396,-1.2667471095112601,-2.1048145187174323,-2.0938251164571042,-0.4153055692069219,-1.76068763690318,-0.8752419625898584,-1.6717497111115653,-0.8202965164182163,-0.8522150428556228,-1.2685327389125822,-1.6254964177408462,0.977408759464764,0.4931909963383039,0.3376141815380564,0.6621566221029378,-2.6566411904652396,-0.37645196777829965,-1.5756825123500418,-1.6289935552656396
Q0130,5.525944941703757,6.220138828306294,5.929405365923696,5.427852970555586,5.754752190146287,5.034699952963153,6.308043555811565,4.811816616827139,6.200341516122893,6.10733169393954,6.344061530923847,6.2594474609196356,7.12431302245769,6.107466875919382,7.456548818939387,6.653091120706261,7.797909966867045,6.851986973777095,8.50973147384582,8.380765636983266,9.562452362481855,7.957809071408919,5.612238641975707,6.06637300654526,6.875787998673574,6.254443752981355
Q0140,1.784263004785142,1.327337390972444,1.7742565824142862,1.5961225288639533,2.20041332000097,1.4354001647834937,2.7305858090036894,1.5360532775811375,1.6727383106994458,2.1362342017856606,2.3945997131410137,1.6608413899287733,3.2382313613582934,1.7067604091348874,3.3604303306779864,0.49622195715053546,3.47278725555195,1.894159300565828,3.2032443362568856,3.0849198731844907,4.105036359927817,2.679816291556317,-0.24126019915952082,2.60909749372349,1.6625795075462013,2.1510296308216845
Q0158,6.144901732122071,6.318001423121301,6.349616178494774,6.009210592938601,5.849972139279487,6.2185773422614385,6.947557155179895,5.7399774593409685,5.697204479773189,6.91167774799734,6.380352908064905,6.639246935483228,6.8487608314121955,6.435864928561664,7.241721336479694,6.229022964411739,7.5166758239945235,7.004825278571139,8.011963380822788,8.577542306787693,8.904749893348683,7.822186515373883,5.497754254317831,6.622953168159623,6.316025275243785,6.860560276928842
Q0160,4.659110955323649,5.451613005962919,5.970256957032906,4.876694358930118,4.363727098805242,3.8239018669351017,5.387863108353399,3.3110482088723225,4.2424004973896166,5.604762588281989,5.0302727013910316,5.307887913695249,5.4285547910922185,4.844529260849521,5.235359760530575,4.228034771862609,5.818035770320011,5.4815823101920635,5.930404462393713,6.4831657253770265,6.830656228286766,6.048972432853166,3.2974169108158127,4.781997882583943,4.857614739313746,4.737652374809426
