Gene	ScB42	ScB43	Sc30m2	Sc30m4	Sc1h2	Sc1h4	Sc1.5h2	Sc1.5h4	Sc2h2	Sc2h4	Sc2.5h2	Sc2.5h4	Sc3h2	Sc3h4	Sc3.5h2	Sc3.5h4	Sc4h2	Sc4h4	Sc6h2	Sc6h4	Sc8h2	Sc8h4
gene-Q0020	1.85032545721303	2.39735542839229	0.246207536333868	1.34556487713614	2.58992615489599	0.802654043495412	0.755350796650198	0.854522619162592	0.364644435428111	0.80854596535121	1.63489792918569	0.147768882054387	0.6933367408459	1.37244048608595	2.69605220573321	0.736228551838951	2.66141945187911	0.294942273565063	1.91128785964926	2.55580051666804	1.99346505859984	2.08176663262233
gene-Q0045	0.974251177384108	0.495117091948697	0.324364470518718	0.319862291357282	1.68056412365544	1.2590995571993	1.04533816828605	1.81721153027161	1.78996760200772	1.67893186856793	1.91852847336607	2.16307933726807	2.49614499827142	1.58145376448427	2.27921231592704	1.45047243109846	2.71587198047077	2.26490436462475	2.51214441306081	1.61703482973571	2.13362534702167	1.81340506421718
gene-Q0050	0.99912806262401	0.506512527094791	-0.1139248695661	0.3578795785672	1.03903057732247	-0.203976195855528	-0.124926648668913	0.514586561104164	0.554903211221658	0.747258076046429	1.76978354401535	0.732956794876385	-0.188490687429067	0.460659001931861	1.45209530923641	0.892859276074716	1.57973803200623	0.446718815681682	1.46219749907953	0.796163406809312	0.926558059978705	1.43390633979827
gene-Q0055	1.37342712094611	1.22449952897276	0.177176723462536	1.03932596222958	1.14795229481553	0.676521669926622	0.765312011311944	0.913856760671148	1.17350821605443	1.53482695569288	1.80492531819306	1.79208487516025	0.965805407009685	1.34338813458539	1.93425081394968	1.31809538739444	2.18193957977659	0.378500752073892	2.51724320670835	1.40734994176756	1.94356057298311	1.36435916332189
gene-Q0065	1.3600364975467	0.656591880420717	0.401655075673071	-0.0137822148740422	0.935389553991428	-0.0781062076838418	0.777400750071154	1.12593005573968	1.02434603923996	0.595393599893446	0.653788521069976	1.0951994136661	0.839846318700818	1.45578910841328	0.771273232152757	0.5634219247355	1.69750273054994	0.380689191442646	1.28694431180983	0.997835031818332	1.00537157987988	0.91636963596155
gene-Q0070	-0.903631879980564	-0.290023304359548	-0.143473715497417	0.167911677636602	0.229850123823486	-0.986092428933683	-0.0259828375486359	-0.222983231025139	-0.467770463866931	-0.00361825550712674	0.1645868758088	-0.461230790441644	-0.486899639687126	0.765899912143085	0.6312507598815	-0.346113124031018	0.825102495814539	0.132214524451045	0.232326888601222	0.84697211780986	1.1888789142686	1.43150247379049
gene-Q0075	-0.0235200209809442	-0.19936655997155	0.0773495238890178	-0.156893115420258	-0.209066663100515	0.12060765238581	-0.24711525496588	0.727990208396654	1.05247811302636	0.43091774386697	0.973986095265775	0.902931883114161	0.632074815443804	0.521698446355055	0.922589270151605	0.892809815813614	1.74581443814272	1.07826329023645	0.912754840957105	0.787612155943059	1.4827641982166	1.74867582897757
gene-Q0130	-1.06991155153682	0.0760928086190245	-0.594974237164428	-1.35474780081557	-0.00391337826962642	0.214380231945589	-0.834548029834464	-0.15653262292553	0.825036419358632	0.145453366013368	2.56586473678317	0.054614391016122	1.27723605117196	1.15615876099376	0.863226233131959	0.941441960229361	2.11879908939218	0.125300411263519	2.29341565644489	1.75509552275846	1.69913405385378	1.6595114602423
gene-Q0158	4.33061387892912	4.4154803081024	3.99336850336021	3.77163410741298	4.58786272219808	3.60726520699255	3.90460415953893	3.74108695984154	4.20393693993591	3.98178261143744	5.05940302269872	4.42344508905169	4.61007739023161	4.50791883592622	5.11666351220725	4.23302871491906	5.79552935334907	4.46789947992824	5.74196079293321	5.79292689509101	5.24958963575686	5.2301215106154
gene-Q0160	1.54974370034152	1.33146469575179	1.6220052785163	2.05832393024905	1.836188205857	1.60031984143416	1.96851530249653	1.58938653675733	2.01034519079747	2.18199876194481	2.28049873531091	1.74977020812814	2.24612776608182	1.98526914107909	2.0663019122126	1.86886414720407	2.44427280345686	2.51639473302605	1.91162239148702	2.12181289640338	2.51228524127064	2.18652468357779
gene-Q0255	2.37074211705478	2.4466775472272	2.6392003479596	2.54349122435248	2.25242531463538	2.24791181745183	2.75719757299785	2.68683292642639	2.36396437800562	2.51211591644253	2.49665124801381	2.47023790682716	2.73576482414116	2.69666466575147	2.45840029885881	2.79689163975599	2.63273378499259	2.45911046644085	2.84676053155661	2.75208180342919	2.47630455783254	2.80454624408428
gene-YAL001C	6.93195081867183	6.94026160342546	6.92033122451923	6.9545788866958	6.61122552393392	6.58830619475056	6.70516620335164	6.6521099503903	6.78860824239333	6.69654273845887	6.9867855416328	6.97816180518725	7.00910418730006	7.08698824965144	6.99973044141354	7.01244347725081	7.16666165868198	7.01303595065305	7.16657197193899	7.10921435291091	7.06238991091498	6.79130887809993
gene-YAL002W	6.27508752913809	6.18379743336034	6.7062510058047	6.60689279515305	6.32995709740416	6.36370269339856	6.2734626544582	6.24749547666538	6.45325235199405	6.36778483535556	6.70860456091255	6.70781493586901	6.91025316913308	6.91667254261481	7.05369319087276	6.91154385997531	7.28765319491931	7.15274703417975	7.71535969037929	7.61111630109437	7.88696425336389	7.87595964320067
gene-YAL003W	11.134714195463	11.1039181443834	9.94702441587082	10.1072810704804	10.6699349936588	10.6274959488962	11.0345651345409	11.0874744660307	10.9937693991374	11.1447130550289	10.3578667937956	10.4877377911219	10.0834506364857	10.0556295339831	10.0414756681572	10.0643863571956	9.98801893720329	10.0645339939282	9.90407755145066	10.0798094241553	10.0240477379607	10.2105088894131
gene-YAL005C	8.72105144049652	8.6887850854274	12.4359353876726	12.4041228198493	11.9340897495953	12.0321179555241	10.9995911195625	10.808017591753	11.671237773013	11.8900974528302	12.5172230701086	12.5027923522825	12.8422977561736	12.8508915071946	12.8877256511165	12.9078100207885	13.0675615362342	12.9832627581605	12.9905232971134	13.0205318626691	12.5116974922445	12.5008420416836
gene-YAL007C	7.15125166218492	7.1878764152089	6.56068001038475	6.79283127327083	6.82311686441462	6.77589442128311	7.02300499737613	7.1530662641457	7.06117998751007	7.17128264547423	6.88643441780114	6.96382230655431	6.65982215763381	6.70570042826749	6.57281597853998	6.66144556296237	6.56522128662093	6.72640274795887	5.91152035910405	5.94172844092526	5.47246651354027	5.94721441090571
gene-YAL008W	5.21003772725532	5.21528066401696	6.80674524668836	6.71940151870357	6.03651122252366	6.09294497304773	5.79665680638083	5.57932288312365	6.12465397727422	6.14414959754878	6.69416229384029	6.46584915032549	6.98404032763398	6.88182134564715	6.83665956117603	6.96985252277573	6.9200801160741	6.98773196950695	7.20971883486113	7.14015623663651	7.25835337329516	6.89359958547121
gene-YAL009W	5.4410546242653	5.45409407402929	5.6396739019505	5.55852074646544	5.47109179202052	5.50248640007877	5.51705522315652	5.38334209232765	5.55170134602839	5.64364382095641	5.6693692807807	5.51911608174329	5.60114355869817	5.59377308297583	5.53205258803008	5.58139347918883	5.49695511165973	5.52369000578137	5.59643402215581	5.64687838182957	5.75814694150681	5.71433355000554
gene-YAL010C	4.89438579131555	5.14977615616838	5.4815727192389	5.18243629071918	5.23577456100336	5.26016401080234	5.07660873592705	5.04147799519057	5.33743700537154	5.3273565136925	5.53849734883097	5.49050301567403	5.65795352790857	5.60876972150349	5.76731823919055	5.55819132183972	5.52629371972244	5.51082839584645	5.44910457541699	5.5933544728942	5.56667278354528	5.61506876171783
gene-YAL011W	5.89308888614532	5.803197071829	5.43208735655839	5.56431717422118	6.10183557791503	5.9819472344374	5.95414276745626	5.97019244257361	5.7593225134534	5.64825986148712	5.63664449986562	5.73714560206376	5.71998997645185	5.78320723791088	5.88950463498236	5.94111851827243	5.81958166636954	5.94137756029453	6.19793669090336	6.21991398850307	6.25752311253515	6.09288945783075
gene-YAL012W	8.01937561293845	7.96029759363421	7.72867450113369	7.50104954370567	7.87964560707683	7.62406147285993	7.98621412340493	7.57676967196192	7.89940326397129	8.05193719907495	7.59157232837056	7.40523897887446	7.30795089593235	7.23861533041647	7.1640159482316	7.01033141867535	6.8059074269202	6.73288019445032	6.03771355155069	5.91570246255483	6.23388829622065	6.13119989045752
gene-YAL013W	5.87240864318612	6.06445252339142	6.3074445079019	6.41707762870918	6.22167564228187	6.24789398422968	6.08268185612932	6.12259586400565	6.25836768523	6.2955418891881	6.31845123170959	6.2699688212763	6.14005438490021	6.24611236427112	6.18750443909508	6.25790497241986	5.78278161029904	6.01761081832192	5.91953929902445	5.96166217886883	5.61239894559726	5.51489224829168
gene-YAL014C	5.57763045384826	5.47504615661851	5.67339608242164	5.73162969723451	5.57876102777685	5.69980290384065	5.24955641036787	5.46990661796546	5.51590442919431	5.71628059082531	5.65636830793625	5.58305761086235	5.69960612817376	5.63621367641872	5.48423188062972	5.69645688899592	5.55883040371537	5.64047525983655	5.24216168832265	5.48118147376812	5.32157359209668	5.201384926345
gene-YAL015C	5.23949333206595	5.28469947588846	5.94619695889854	6.0188033712227	5.87873216602838	5.96044381943795	5.76904936596505	5.72219150284185	5.79896701131463	5.62992970627504	5.8917358382815	5.71215324733262	5.94763034107023	5.91663695420775	5.875343255264	5.89340259651892	5.84314630358896	5.82207327551568	5.74232432132934	5.7361291908989	5.78317095149181	5.65851354266105
gene-YAL016W	7.95984515866958	7.96135859130809	8.3493894486602	8.34495309122092	7.9981381008607	7.97578967491179	8.02825128700488	7.94267365735158	8.17781465063041	8.23458661324219	8.18847279845669	8.19999130333066	8.21012602919313	8.27267280456311	8.15599681624917	8.15485266566921	8.1786489427706	8.1606499537151	7.9988184503732	8.06374223757972	8.03359713974362	7.94006692748404
gene-YAL017W	7.02295806188237	6.94241246168069	8.28752406010881	8.16146857512319	7.13268173125237	7.16819114144459	7.23081417248968	7.11090244189227	7.58397532559933	7.41102173247701	7.85225099459508	7.81244444261825	8.02481035030366	8.07588601085295	7.86445378981018	7.89575498098447	7.98306380094768	7.88056862175825	7.94758478769352	7.90588142906756	7.93473805262292	7.57185802913178
gene-YAL019W	7.55905343512415	7.58202581876341	6.36016302251814	6.28289970706036	7.59350677213218	7.55850352784701	7.61939539682673	7.58534927526282	7.16518457486449	7.06924808923396	6.30601786722228	6.71639396325228	5.93181526177244	5.8746732940532	6.21447691099376	5.98092285054172	5.87536099506502	6.05057004814603	6.07121336616143	6.04543883291917	6.41203520287143	6.34167707819481
gene-YAL020C	5.32712888806491	5.44805144739322	5.76834364042387	5.86127829765961	5.93885128982824	6.08520841543829	5.82203279842951	5.65734731518988	5.80062318733267	5.95073112512957	5.66504862781398	5.73527073617764	5.28770866114403	5.52315919325626	5.66021718396312	5.69756865729594	5.34938647690339	5.47816360279328	5.68565449705825	5.68334887007278	5.74907755757952	5.81066121507319
gene-YAL021C	6.78478002579635	6.77872113889879	6.66493933836607	6.66649091324886	6.68814503114655	6.66919292333567	6.654613332603	6.71601214443185	6.60890751999772	6.44595711889339	6.55939247160434	6.58722907309649	6.47593745127352	6.58414192232284	6.47953720818906	6.39408035155953	6.5708633158253	6.66387321268099	6.39600166935258	6.426639188668	6.2043228372205	6.40302821212774
gene-YAL022C	6.96260276196165	6.88206311026699	7.08041747124367	6.98586897965521	7.180138945133	7.20363836946617	6.88620149380138	6.77820171108546	7.0663993924488	7.1550424096682	6.82772683314892	6.89159178013046	6.83569759088437	6.76905446651291	6.81136223747268	6.8079794801263	6.6775618492259	6.68787919163185	6.35874042432287	6.46105674795789	6.26071740989942	6.53371655910447
gene-YAL023C	9.47566230306022	9.40486806740037	8.63949613534133	8.72856197115028	8.95995032315704	9.06799475822939	9.28136791209973	9.3361218542922	9.18078341742223	9.24989797679934	8.9177693689743	9.03051341102038	8.74634291834219	8.70501674497166	8.72035380412689	8.6210565766066	8.57327893217339	8.6260860470593	8.13487599487048	8.13412749346788	7.45382933837747	7.83582065788378
gene-YAL024C	5.92787762772082	5.61376300198115	5.2578073869552	5.3007460172064	5.56271059254601	5.55943714679948	5.93599457154255	6.05501887754441	5.67982249573537	5.51720493870165	5.3575515341753	5.59551274378702	5.22727818818999	5.38065222668946	5.33654754919886	5.18677752613576	5.29133435786215	5.20231042830936	4.78214522287902	4.69234064543619	4.56053713990846	4.97065713924304
gene-YAL025C	7.50633752251065	7.51061892437203	4.65809620383432	4.81532378398876	7.34757131690782	7.24658328283342	7.23216693650616	7.34312941917044	6.47419294746125	6.72652568063704	4.98022872744944	5.73527073617764	4.27537358055991	4.13024531590838	4.42851216193228	4.55461659236826	3.91093293337774	4.48919612333274	5.04514618727013	5.31948301539773	6.20653311632745	6.03550289545651
gene-YAL026C	7.86302813380944	7.81716377219227	7.44810186775827	7.37397637683621	7.61163891052113	7.52401431498169	7.63834771402239	7.60566198018067	7.54490851474177	7.58181517180542	7.45105843233783	7.5451522682947	7.39138204919606	7.35194280606137	7.40311276616773	7.34418006417188	7.39342682630184	7.32437563047916	7.34688599872086	7.37304218395552	7.26597112498303	7.24632653125672
gene-YAL027W	4.3107190309637	4.4066086803618	4.31191623439448	4.24676671530931	4.06991895351387	4.06280495998643	4.17261951997228	4.07376509717671	4.512622215418	4.33230759954843	4.67542646136674	4.2725275586008	4.73108529992888	4.4343478008376	4.54642640675585	4.41091278703574	4.59662445408487	4.4804266682625	4.60253761524979	4.65084721378641	4.53262046193806	4.67376319338654
gene-YAL028W	4.67310885540223	4.51463332029283	5.94899601055451	6.00601459139254	4.68838983663153	4.86051894110483	4.40147203696154	4.52283930491639	5.25526452539149	4.93314556212867	5.86098561593046	5.65622479631572	5.96790204557301	5.9953340905023	5.80526998446977	5.75468854361115	5.94126253361714	5.79699241156056	5.98824780678609	5.87271909900545	5.6855289415841	5.51271517725614
gene-YAL029C	7.97738199731877	7.85022991750003	7.21562713073773	7.15283812564868	7.70830722945657	7.72706879607937	7.69688201254941	7.70774888330804	7.45609633564951	7.35880095331419	7.06166317135603	7.2886309239052	6.87418467296989	6.98717768336401	7.05046420611303	6.97497192172913	7.07830497696156	7.00614057586396	6.83887994999518	6.87322612632956	6.750258473808	6.86978075637357
gene-YAL030W	4.8861566547077	4.94189643975843	5.98375752523982	6.05349512904518	5.39834526250055	5.5816025265863	5.15287281359223	5.18084922808445	5.32006228991801	5.57694095892313	5.98575858463714	5.76314106142371	6.08682545198674	6.00670143730404	5.90246350952988	6.05185436148643	6.10528265683292	5.99623780779873	6.20451499691686	6.19125638986555	5.92178960702668	6.05893671931304
gene-YAL031C	5.91953750661784	5.86573069910596	6.39875501328718	6.37482346511138	5.94660283038696	5.98233216420862	5.88530677597775	5.89490651596749	6.13338414560557	6.09562075560626	6.39088187522737	6.33826031168304	6.37203110404091	6.51190400618261	6.35981289689423	6.33614948366633	6.41648405671106	6.37544906392574	6.50233732152776	6.40496366939621	6.30264571016041	6.30662198604297
gene-YAL032C	5.24191700281891	5.12726329123078	5.40557895446654	5.40548095893005	5.20508256653218	5.19552015745619	5.18396298360342	5.30793468954696	5.38625439476395	5.43887922753051	5.21409534109436	5.35299782540833	5.34610040407578	5.39555329187053	5.358209785822	5.42130520785692	5.4629716488625	5.35163691215075	5.68941123855098	5.66436030684392	5.85572827288712	5.67221416736063
gene-YAL033W	4.69211497232536	4.77331814028105	3.9448928420667	4.20779660873257	4.5769407683924	4.49056479610309	4.68048258956919	4.79156510772739	4.60518627969858	4.88669177754355	4.05746897028878	4.12568201671456	3.80599069325793	3.81263835790019	3.83535153062051	3.78915136640371	3.96905963278307	3.75231302511499	3.55414564940694	3.48468675704705	3.93960489636898	3.9800660256666
gene-YAL034C	5.14944417997704	5.03352515998716	6.43743230590914	6.54374853040079	5.36402580581108	5.44077167763641	5.56936733061631	5.43741876516753	5.69169266895019	5.65754471124686	6.34300104772772	6.13711905422716	6.55850764961566	6.66425867654676	6.59465266339472	6.57064288155672	6.7809719726551	6.66290562255485	7.20513376684681	7.06843120204988	6.98145026437097	6.83457202403349
gene-YAL034W-A	3.78193015979042	3.95689688004358	3.33550830194341	3.6765848818811	4.24608357755898	4.01147873761863	4.35336643071247	4.23947938470625	4.109366892388	4.25517497295742	3.85425674175779	4.26734718004736	4.27036145932751	4.06992545320924	4.36037525991683	4.12539965032725	4.14573957068093	4.05522659708318	3.789364335183	3.80778008317021	3.20507948287936	3.38897733939812
gene-YAL035W	10.2676354214086	10.1439815644062	9.10442526387969	9.18247760316278	10.0462548190892	9.96268886310366	9.91019922402876	9.98495568914673	9.50089708812848	9.49404315505189	8.88308042682896	9.25500672691754	8.80931359670104	8.72580053043666	8.82104240582386	8.85821823886494	8.65456643163766	8.79274870263394	8.65154085035066	8.75443435999685	8.74773264881542	8.65756793950333
