gene_id,yH545.Scer.noPi.0m.rep1,yH545.Scer.noPi.0m.rep2,yH545.Scer.noPi.0m.rep3,yH545.Scer.noPi.15m.rep1,yH545.Scer.noPi.15m.rep2,yH545.Scer.noPi.15m.rep3,yH545.Scer.noPi.30m.rep1,yH545.Scer.noPi.30m.rep2,yH545.Scer.noPi.30m.rep3,yH545.Scer.noPi.45m.rep1,yH545.Scer.noPi.45m.rep2,yH545.Scer.noPi.45m.rep3,yH545.Scer.noPi.60m.rep1,yH545.Scer.noPi.60m.rep2,yH545.Scer.noPi.60m.rep3,yH545.Scer.noPi.90m.rep1,yH545.Scer.noPi.90m.rep2,yH545.Scer.noPi.90m.rep3,yH545.Scer.noPi.120m.rep1,yH545.Scer.noPi.120m.rep2,yH545.Scer.noPi.120m.rep3,yH545.Scer.noPi.180m.rep1,yH545.Scer.noPi.180m.rep2,yH545.Scer.noPi.180m.rep3,yH545.Scer.noPi.240m.rep1,yH545.Scer.noPi.240m.rep2,yH545.Scer.noPi.240m.rep3,yH545.Scer.noPi.360m.rep1,yH545.Scer.noPi.360m.rep2,yH545.Scer.noPi.360m.rep3,yH545.Scer.noPi.480m.rep1,yH545.Scer.noPi.480m.rep2,yH545.Scer.noPi.480m.rep3,yH545.Scer.mock.30m.rep1,yH545.Scer.mock.30m.rep2,yH545.Scer.mock.30m.rep3,yH545.Scer.mock.60m.rep1,yH545.Scer.mock.60m.rep2,yH545.Scer.mock.60m.rep3
Q0020,-0.14374346942720712,-0.655856866232812,-0.3037239071120126,-1.2000413064877606,-1.2805379105589552,-0.9593264489548797,-0.4321319050885924,-0.8884504404667259,0.7046104788857736,-0.5139495019882537,0.8789353838495846,-0.2998953973974963,0.6373443171133225,-0.518565258731104,1.2117182664011457,-1.0073775975200276,0.14624580078175178,0.5827789157533453,-0.4434870520661305,0.5809523621714122,-0.22421416265163008,-0.7329280899075636,-0.291414782730212,6.53247126499984,1.3527997937641933,0.5322360901623825,2.0083579135698812,1.9161703760488162,1.9080774071950957,0.35766375357410607,1.351495394107118,3.1053327455307453,1.333204878196297,1.0455727404694584,-0.20434687339621788,1.6149181268746895,-0.004072479173725776,-0.1455099013000106,0.12873439865295233
Q0045,4.69169929372567,4.698102314414587,4.364417915487607,4.095015848622653,4.521695421167464,4.155078011801632,4.328354625756674,4.138251278870354,4.283670981455496,4.765391275476532,4.798806963534324,4.146221151692384,3.8236340418119608,4.269849237454734,4.026020305901263,4.359528794870666,4.230914442049029,4.048106506879539,4.389711571658119,4.807467058226323,4.6299544488984665,4.571761065231856,4.078559716536831,4.923868755415083,5.177370406012906,4.991556416753927,5.48137435773975,5.8594554182502785,6.116647714163739,5.841033166315109,5.617075738385913,6.315188370927725,5.706067534592213,4.604057510557509,4.98679344177224,4.604554946515984,4.729532546057631,3.844509286166903,4.268470512631509
Q0050,2.7096857239506553,2.4896235377000306,2.174750735563398,2.0854309857638653,2.3156784039357823,1.7592724695376936,1.8911639872298502,2.518553149487672,1.8562267595722235,2.5712701762977996,3.010711967394755,1.7571316897401632,2.695987684575381,2.4100915530077502,2.7108592100210736,2.350239091361989,2.8489514579440556,1.7486409758679087,2.091438833124421,2.7455566936076976,2.519249299115759,2.4556757535751212,2.134240245981651,4.602602782211977,2.7394388579736386,2.668411710100227,3.0737646053883507,2.982134911509466,4.304382565909619,3.771486918747124,3.6918733570135647,4.184475035793483,4.901539852436275,2.0590351539139493,2.138488696660399,3.433180922182659,2.374524829813834,1.9906468600878764,1.4934266407202732
Q0055,3.4571697494360882,3.416968883237551,2.915783749935285,2.2530177736617136,3.303818482456967,2.6452982517195065,3.140975908692958,1.5093443059543015,3.3451254621071236,3.2893818223095668,3.7751457664714536,2.667588232370312,2.497052778654464,3.256669947868407,2.7388383062709853,3.166538677695466,2.8350082702278168,2.8394426529690513,2.911108896211997,3.201403870962238,2.689827264204528,2.8306014121674,2.9303087928220437,4.4240697247965235,3.262037639787885,3.7786259189969176,3.56030497318103,4.575995617618127,4.247073931716388,3.9191615202932257,4.2010707087199295,5.270852622822024,3.6253639607761183,3.0657195429728326,3.587569006472376,2.4165790531938036,3.2462364998572166,1.7073784710023088,2.371745417173431
Q0060,0.9486069023282978,0.5508687936894302,-0.1610704861562587,-0.30637655627223853,0.024139895880254655,-0.2924663011518048,0.3055177498916646,-0.17431880534059385,0.08525983838331656,0.5749005616049463,0.9294105882406847,-0.2998953973974963,0.18666785075817352,0.4692386715399039,0.6879293845629467,-0.22034118350678497,0.31646855283538655,0.5120646092453119,0.4861568869893035,0.9056740308532384,0.3286031910501012,-0.13324561958189815,-0.4500254460683582,0.24721784325296609,0.17886497346524033,-0.19560785609918402,0.6213357315279121,1.1145222072459327,1.5770577977633338,0.6856607717431061,1.6740492602225967,2.3081487781273013,1.9603985043978918,0.24851257459196846,0.9745465614269297,0.523222141226539,0.4842053262425798,-0.24294334366023865,-0.49285945988853036
Q0065,3.655973663734484,3.062847405563674,2.866664046643684,2.443320842303154,2.9192209318274833,2.8097787901882447,2.774506794698737,2.1575077584361404,3.50726773831279,3.540691802568794,3.660292388993257,2.9203038694158368,2.9968162695315756,3.159277493376753,2.8584342365143613,2.7683798096274206,3.28817111386703,2.4239517768028,3.26071181102529,3.6288006868166276,3.079128918495687,2.5350069456015123,2.847472468563461,3.3326706198246723,3.3041876577446705,3.0988394727920103,3.56030497318103,4.613584047024809,4.407369726089359,3.833486152213763,3.9120866149825027,4.826186428509708,4.096511610153908,3.6190097991928067,3.948121887182331,3.3249954121702894,3.4186991012838863,2.1716915384596702,2.5234986241147923
Q0070,1.9613588813237897,2.1817271406626806,1.843520706095337,0.7696431907130261,1.9346846501808648,1.4357915248447193,1.3533528374695591,1.8695242199337185,2.1842602345440683,1.989191445796579,2.1351207817639595,1.9460930764679696,1.651371905978046,1.9326925233126038,1.4672135798649977,1.7200698738745743,2.1706325323602,1.975833088097824,2.0222338766087042,2.729219443823642,2.230671612153573,1.3447058748768506,1.1231545570603856,0.5946532455273965,2.4513660326439086,2.1351543040512926,3.55249151973702,3.3320135321454942,4.488734493617095,3.064931639567241,3.4127655712004024,4.5945996780781275,4.6674174131814965,2.860564792900868,3.1559552372385,3.1027583286511398,2.32582420011559,1.78357795245021,1.356382353433095
Q0075,3.4345562862685615,3.1463886431689487,2.612335704180127,2.1596495534178204,2.1995121340759365,2.6100258777511747,2.6910107708220794,2.176035517600797,3.384948372041292,3.5266455238404455,4.09003917050087,2.7129025176328483,3.3198426592541126,2.5395849861558917,3.529491780805067,2.7098946269691497,3.3678045834274424,2.499005669157709,3.1242615855914133,3.8260533469925218,2.707592953888608,2.3053960619223264,2.3897769019532804,1.4869119866706726,3.4614564891857103,2.611581553098501,4.3230867775636534,4.546067704884105,5.484340980819475,3.844477975814357,4.524199525767838,5.335570419798585,5.332272512632089,3.6794562289333443,3.93092901532977,3.9096471870712537,3.44173606417474,1.5990834566590184,2.441168762169271
Q0085,-2.171756660585858,-0.8581186767328529,-0.6399097475144584,-2.243192846773554,-1.4875365405188576,-0.9593264489548797,-1.1005631273728347,-2.364368700023801,-0.8283929065153567,-1.7099691122319338,-0.9175233820437162,-1.5594976352599845,-2.1844040325233496,-0.8026843196207655,-1.9173059843013978,-1.0073775975200276,-1.049849154167691,-0.2294583887559201,-1.0916831020068627,-1.1890110082928067,-0.5224948689327709,-1.7780111760792783,-2.1739226132146823,1.8196965679757906,-1.5151961788217552,-0.6719703461360749,-0.2559804734838805,-0.8461503551585354,-0.93988021663424,-2.3879646295088675,-1.5160362884360967,0.3774058066310189,-1.2331244699548303,-1.433657210148326,-1.3946570453583034,-1.9072549315974072,-1.239844470004226,-1.6727378152398582,-1.92079001459591
Q0105,-2.8726374666062133,-1.374757038175108,-1.3616203325747416,-1.4716033834425901,-2.384147577091052,-1.46119197615442,-2.0205195836161502,-2.8726374666062133,-1.8429908450957584,-2.0041028875800233,-1.902405709693419,-2.8726374666062133,-2.872637466606216,-2.872637466606211,-2.3172997842452316,-2.8726374666062133,-2.872637466606211,-2.2641056903862853,-1.3123003761747596,-2.872637466606216,-1.7542309489053989,-2.8726374666062133,-2.872637466606216,2.1698128479538923,-2.872637466606216,-1.7358076634133006,-2.8726374666062133,-0.25827463683993,-1.4446532585429934,-0.8042596552483365,-2.268309357117362,-0.7874145487464889,-1.2331244699548303,-2.8726374666062133,-2.8726374666062133,-2.310660737299666,-2.872637466606211,-2.872637466606211,-2.3195974325347732
