"Sample","Timepoint","Replicate","StandardizedReplicate"
"ScB42","0min",1,1
"ScB43","0min",2,2
"Sc30m2","30min",1,1
"Sc30m4","30min",2,2
"Sc1h2","1h",1,1
"Sc1h4","1h",2,2
"Sc1.5h2","1.5h",1,1
"Sc1.5h4","1.5h",2,2
"Sc2h2","2h",1,1
"Sc2h4","2h",2,2
"Sc2.5h2","2.5h",1,1
"Sc2.5h4","2.5h",2,2
"Sc3h2","3h",1,1
"Sc3h4","3h",2,2
"Sc3.5h2","3.5h",1,1
"Sc3.5h4","3.5h",2,2
"Sc4h2","4h",1,1
"Sc4h4","4h",2,2
"Sc6h2","6h",1,1
"Sc6h4","6h",2,2
"Sc8h2","8h",1,1
"Sc8h4","8h",2,2
