"Sample","Timepoint","Replicate","StandardizedReplicate"
"CgB41","0min",1,1
"CgB44","0min",2,2
"Cg15m1","15min",1,1
"Cg15m2","15min",2,2
"Cg30m1","30min",1,1
"Cg30m2","30min",2,2
"Cg45m1","45min",1,1
"Cg45m2","45min",2,2
"Cg1h1","1h",1,1
"Cg1h2","1h",2,2
"Cg1.5h1","1.5h",1,1
"Cg1.5h2","1.5h",2,2
"Cg2h1","2h",1,1
"Cg2h2","2h",2,2
"Cg3h1","3h",1,1
"Cg3h2","3h",2,2
"Cg4h1","4h",1,1
"Cg4h2","4h",2,2
"Cg6h1","6h",1,1
"Cg6h2","6h",2,2
"Cg8h1","8h",1,1
"Cg8h2","8h",2,2
