"Sample","Timepoint","Replicate"
"CaB41","0min",1
"CaB44","0min",2
"Ca15m1","15min",1
"Ca15m2","15min",2
"Ca30m1","30min",1
"Ca30m2","30min",2
"Ca45m1","45min",1
"Ca45m2","45min",2
"Ca1h1","1h",1
"Ca1h2","1h",2
"Ca1.5h1","1.5h",1
"Ca1.5h2","1.5h",2
"Ca2h1","2h",1
"Ca2h4","2h",2
"Ca2.5h1","2.5h",1
"Ca2.5h4","2.5h",2
"Ca3h1","3h",1
"Ca3h2","3h",2
"Ca3.5h1","3.5h",1
"Ca3.5h4","3.5h",2
"Ca4h1","4h",1
"Ca4h3","4h",2
"Ca6h1","6h",1
"Ca6h3","6h",2
"Ca8h1","8h",1
"Ca8h2","8h",2
